Metric     | Precision |    Recall |  F1 Score | AligndAcc
-----------+-----------+-----------+-----------+-----------
Tokens     |    100.00 |    100.00 |    100.00 |
Sentences  |    100.00 |    100.00 |    100.00 |
Words      |    100.00 |    100.00 |    100.00 |
UPOS       |    100.00 |    100.00 |    100.00 |    100.00
XPOS       |    100.00 |    100.00 |    100.00 |    100.00
UFeats     |    100.00 |    100.00 |    100.00 |    100.00
AllTags    |    100.00 |    100.00 |    100.00 |    100.00
Lemmas     |    100.00 |    100.00 |    100.00 |    100.00
UAS        |     25.93 |     25.93 |     25.93 |     25.93
LAS        |     18.52 |     18.52 |     18.52 |     18.52
CLAS       |     13.04 |     16.67 |     14.63 |     16.67
MLAS       |     13.04 |     16.67 |     14.63 |     16.67
BLEX       |     13.04 |     16.67 |     14.63 |     16.67
