Metric     | Precision |    Recall |  F1 Score | AligndAcc
-----------+-----------+-----------+-----------+-----------
Tokens     |    100.00 |    100.00 |    100.00 |
Sentences  |    100.00 |    100.00 |    100.00 |
Words      |    100.00 |    100.00 |    100.00 |
UPOS       |    100.00 |    100.00 |    100.00 |    100.00
XPOS       |    100.00 |    100.00 |    100.00 |    100.00
UFeats     |    100.00 |    100.00 |    100.00 |    100.00
AllTags    |    100.00 |    100.00 |    100.00 |    100.00
Lemmas     |    100.00 |    100.00 |    100.00 |    100.00
UAS        |     28.00 |     28.00 |     28.00 |     28.00
LAS        |     20.00 |     20.00 |     20.00 |     20.00
CLAS       |     23.08 |     21.43 |     22.22 |     21.43
MLAS       |     15.38 |     14.29 |     14.81 |     14.29
BLEX       |     23.08 |     21.43 |     22.22 |     21.43
