Metric     | Precision |    Recall |  F1 Score | AligndAcc
-----------+-----------+-----------+-----------+-----------
Tokens     |    100.00 |    100.00 |    100.00 |
Sentences  |    100.00 |    100.00 |    100.00 |
Words      |    100.00 |    100.00 |    100.00 |
UPOS       |    100.00 |    100.00 |    100.00 |    100.00
XPOS       |    100.00 |    100.00 |    100.00 |    100.00
UFeats     |    100.00 |    100.00 |    100.00 |    100.00
AllTags    |    100.00 |    100.00 |    100.00 |    100.00
Lemmas     |    100.00 |    100.00 |    100.00 |    100.00
UAS        |     27.59 |     27.59 |     27.59 |     27.59
LAS        |     13.79 |     13.79 |     13.79 |     13.79
CLAS       |     15.79 |     15.79 |     15.79 |     15.79
MLAS       |     15.79 |     15.79 |     15.79 |     15.79
BLEX       |     15.79 |     15.79 |     15.79 |     15.79
