Metric     | Precision |    Recall |  F1 Score | AligndAcc
-----------+-----------+-----------+-----------+-----------
Tokens     |    100.00 |    100.00 |    100.00 |
Sentences  |    100.00 |    100.00 |    100.00 |
Words      |    100.00 |    100.00 |    100.00 |
UPOS       |    100.00 |    100.00 |    100.00 |    100.00
XPOS       |    100.00 |    100.00 |    100.00 |    100.00
UFeats     |    100.00 |    100.00 |    100.00 |    100.00
AllTags    |    100.00 |    100.00 |    100.00 |    100.00
Lemmas     |    100.00 |    100.00 |    100.00 |    100.00
UAS        |     23.64 |     23.64 |     23.64 |     23.64
LAS        |     14.55 |     14.55 |     14.55 |     14.55
CLAS       |      7.89 |      9.38 |      8.57 |      9.38
MLAS       |      7.89 |      9.38 |      8.57 |      9.38
BLEX       |      7.89 |      9.38 |      8.57 |      9.38
