Metric     | Precision |    Recall |  F1 Score | AligndAcc
-----------+-----------+-----------+-----------+-----------
Tokens     |    100.00 |    100.00 |    100.00 |
Sentences  |    100.00 |    100.00 |    100.00 |
Words      |    100.00 |    100.00 |    100.00 |
UPOS       |      0.00 |      0.00 |      0.00 |      0.00
XPOS       |      0.00 |      0.00 |      0.00 |      0.00
UFeats     |     37.04 |     37.04 |     37.04 |     37.04
AllTags    |      0.00 |      0.00 |      0.00 |      0.00
Lemmas     |     88.89 |     88.89 |     88.89 |     88.89
UAS        |     66.67 |     66.67 |     66.67 |     66.67
LAS        |     62.96 |     62.96 |     62.96 |     62.96
CLAS       |     56.25 |     50.00 |     52.94 |     50.00
MLAS       |      0.00 |      0.00 |      0.00 |      0.00
BLEX       |     50.00 |     44.44 |     47.06 |     44.44
