Metric     | Precision |    Recall |  F1 Score | AligndAcc
-----------+-----------+-----------+-----------+-----------
Tokens     |    100.00 |    100.00 |    100.00 |
Sentences  |    100.00 |    100.00 |    100.00 |
Words      |    100.00 |    100.00 |    100.00 |
UPOS       |      0.00 |      0.00 |      0.00 |      0.00
XPOS       |    100.00 |    100.00 |    100.00 |    100.00
UFeats     |     32.00 |     32.00 |     32.00 |     32.00
AllTags    |      0.00 |      0.00 |      0.00 |      0.00
Lemmas     |     96.00 |     96.00 |     96.00 |     96.00
UAS        |     80.00 |     80.00 |     80.00 |     80.00
LAS        |     76.00 |     76.00 |     76.00 |     76.00
CLAS       |     76.92 |     71.43 |     74.07 |     71.43
MLAS       |      0.00 |      0.00 |      0.00 |      0.00
BLEX       |     69.23 |     64.29 |     66.67 |     64.29
