Metric     | Precision |    Recall |  F1 Score | AligndAcc
-----------+-----------+-----------+-----------+-----------
Tokens     |    100.00 |    100.00 |    100.00 |
Sentences  |    100.00 |    100.00 |    100.00 |
Words      |    100.00 |    100.00 |    100.00 |
UPOS       |      0.00 |      0.00 |      0.00 |      0.00
XPOS       |     92.00 |     92.00 |     92.00 |     92.00
UFeats     |     40.00 |     40.00 |     40.00 |     40.00
AllTags    |      0.00 |      0.00 |      0.00 |      0.00
Lemmas     |    100.00 |    100.00 |    100.00 |    100.00
UAS        |     80.00 |     80.00 |     80.00 |     80.00
LAS        |     80.00 |     80.00 |     80.00 |     80.00
CLAS       |     78.57 |     78.57 |     78.57 |     78.57
MLAS       |      0.00 |      0.00 |      0.00 |      0.00
BLEX       |     78.57 |     78.57 |     78.57 |     78.57
